x,y,y_error
5.110000000000000320e+00,-1.228348610324080603e+00,8.698813682120791826e-03
1.021000000000000085e+01,-1.270858193473322739e+00,9.203197050774665489e-03
1.528999999999999915e+01,-1.316848402071979951e+00,9.773780741753172047e-03
2.032999999999999829e+01,-1.363635596354580759e+00,1.038210733636089379e-02
2.544000000000000128e+01,-1.415586729576055136e+00,1.109219732847799116e-02
3.055999999999999872e+01,-1.467340455306808344e+00,1.183775001310585252e-02
3.564000000000000057e+01,-1.522394692874135647e+00,1.267499954563612065e-02
4.075999999999999801e+01,-1.579619189410426339e+00,1.359626992681771049e-02
4.588000000000000256e+01,-1.639016407661988417e+00,1.461081639581440772e-02
5.093999999999999773e+01,-1.696993803458419992e+00,1.566185559701250424e-02
5.602000000000000313e+01,-1.758343472308210975e+00,1.684341954655746779e-02
6.113000000000000256e+01,-1.821277305491838083e+00,1.813430078427633735e-02
6.623000000000000398e+01,-1.887899524598679379e+00,1.959353114647712987e-02
7.134000000000000341e+01,-1.956032546746380385e+00,2.119117353664783446e-02
7.646999999999999886e+01,-2.025351990756897091e+00,2.293362138700630673e-02
8.151999999999999602e+01,-2.095428056261809058e+00,2.482359331978927289e-02
8.665000000000000568e+01,-2.169053700369523163e+00,2.695869850017564712e-02
9.173000000000000398e+01,-2.246495626343002261e+00,2.938227390373390757e-02
9.681000000000000227e+01,-2.319922713319722885e+00,3.186159702784670950e-02
1.019899999999999949e+02,-2.400565501354249509e+00,3.480427444664459941e-02
1.070400000000000063e+02,-2.479992634985571431e+00,3.794555776096149302e-02
1.121200000000000045e+02,-2.562246653113651629e+00,4.147409549126053474e-02
1.172199999999999989e+02,-2.641329541454035201e+00,4.515287719433878216e-02
1.223199999999999932e+02,-2.728355467262955525e+00,4.955342575948620820e-02
1.274500000000000028e+02,-2.810505738033395762e+00,5.407525442571785995e-02
1.325500000000000114e+02,-2.901052147325061004e+00,5.951043090773901201e-02
1.376399999999999864e+02,-2.992950630592114081e+00,6.555509608852182202e-02
1.426899999999999977e+02,-3.085461043520120850e+00,7.222908958066480423e-02
1.478000000000000114e+02,-3.177585555930585226e+00,7.951920197856320038e-02
1.529000000000000057e+02,-3.268018660527798325e+00,8.736041074124606398e-02
1.581100000000000136e+02,-3.355106274461888471e+00,9.561316504276906603e-02
1.631299999999999955e+02,-3.465735902799726542e+00,1.071896915025735836e-01
1.681899999999999977e+02,-3.558201130471819962e+00,1.178989493004828082e-01
1.732599999999999909e+02,-3.642835515612529385e+00,1.286089137581583053e-01
1.783199999999999932e+02,-3.755488534245611465e+00,1.443469724134697485e-01
1.834600000000000080e+02,-3.838735209658313607e+00,1.571712241577025437e-01
1.885800000000000125e+02,-3.954124181446781350e+00,1.768091925362666739e-01
1.936399999999999864e+02,-4.057565310718803886e+00,1.964479108398664298e-01
1.987599999999999909e+02,-4.143134726391532574e+00,2.143017740254493930e-01
2.038899999999999864e+02,-4.270420602678324684e+00,2.438537365318835248e-01
2.090399999999999920e+02,-4.378173065357891858e+00,2.719855573541434812e-01
2.141599999999999966e+02,-4.457250055911469389e+00,2.946476275813367796e-01
2.192800000000000011e+02,-4.543294782270003829e+00,3.214303604033234563e-01
2.243600000000000136e+02,-4.688446526228692512e+00,3.721772166384335057e-01
2.293600000000000136e+02,-4.798703169015035463e+00,4.159592874653841865e-01
