time_s,pt1_mbar,y,y_error,reynolds,in_laminar_fit
5.019999999999999574e+00,1.819000000000000000e+03,-1.272664122812662946e+00,9.225106693619852805e-03,3.067671108223081333e+01,1.000000000000000000e+00
1.008000000000000007e+01,1.722000000000000000e+03,-1.367885611709820592e+00,1.043880575056400570e-02,2.883791942375126638e+01,1.000000000000000000e+00
1.517999999999999972e+01,1.636000000000000000e+03,-1.467340455306808344e+00,1.183775001310585252e-02,2.521633721115128779e+01,1.000000000000000000e+00
2.030000000000000071e+01,1.561000000000000000e+03,-1.569235304740708159e+00,1.342510026505265054e-02,2.205350837575256051e+01,1.000000000000000000e+00
2.541000000000000014e+01,1.495000000000000000e+03,-1.674241229018737176e+00,1.524200336645832078e-02,1.948294726963178647e+01,1.000000000000000000e+00
3.048000000000000043e+01,1.437000000000000000e+03,-1.782050655101093950e+00,1.732005691703204439e-02,1.718714854640898437e+01,1.000000000000000000e+00
3.556000000000000227e+01,1.386000000000000000e+03,-1.892564168350020726e+00,1.969943490114824808e-02,1.491335235861444275e+01,1.000000000000000000e+00
4.067999999999999972e+01,1.342000000000000000e+03,-2.003342198141188746e+00,2.236709098777717522e-02,1.285775993690810459e+01,1.000000000000000000e+00
4.575999999999999801e+01,1.304000000000000000e+03,-2.113980493968545815e+00,2.534674985216809479e-02,1.137038888257477254e+01,1.000000000000000000e+00
5.081000000000000227e+01,1.270000000000000000e+03,-2.228227946229927259e+00,2.879341601800548128e-02,1.006329710101662123e+01,1.000000000000000000e+00
5.595000000000000284e+01,1.240000000000000000e+03,-2.344549292093077941e+00,3.273503481463082426e-02,8.754218591327520116e+00,1.000000000000000000e+00
6.103999999999999915e+01,1.214000000000000000e+03,-2.460617533443499649e+00,3.715599727375629158e-02,7.831698357448765968e+00,1.000000000000000000e+00
6.617000000000000171e+01,1.190000000000000000e+03,-2.584110527634294385e+00,4.246211377318438729e-02,6.747882588310499585e+00,1.000000000000000000e+00
7.121999999999999886e+01,1.171000000000000000e+03,-2.696269367071060685e+00,4.788606532154756484e-02,5.674290032926921690e+00,1.000000000000000000e+00
7.632999999999999829e+01,1.154000000000000000e+03,-2.810505738033395762e+00,5.407525442571785995e-02,5.167144689522158885e+00,1.000000000000000000e+00
8.143999999999999773e+01,1.138000000000000000e+03,-2.933394228143635818e+00,6.157454957790065020e-02,4.709466014623109764e+00,1.000000000000000000e+00
8.651999999999999602e+01,1.124000000000000000e+03,-3.056706281037521400e+00,7.008799579105212674e-02,3.937620699632882193e+00,1.000000000000000000e+00
9.159999999999999432e+01,1.113000000000000000e+03,-3.166880529749820372e+00,7.863713130506633231e-02,3.445000594316915077e+00,1.000000000000000000e+00
9.673999999999999488e+01,1.102000000000000000e+03,-3.292079228891495735e+00,8.956901962778303361e-02,3.113325004534645224e+00,1.000000000000000000e+00
1.018799999999999955e+02,1.093000000000000000e+03,-3.408787550928831234e+00,1.010705134459652932e-01,2.804726150116017447e+00,1.000000000000000000e+00
1.070100000000000051e+02,1.084000000000000000e+03,-3.542146549630877939e+00,1.159677140869221634e-01,2.501041428249934473e+00,1.000000000000000000e+00
1.121099999999999994e+02,1.077000000000000000e+03,-3.660708577147239851e+00,1.309889853175311425e-01,2.200752424273988428e+00,1.000000000000000000e+00
1.171899999999999977e+02,1.070000000000000000e+03,-3.796206120735940992e+00,1.504861792923683217e-01,1.885164863042625205e+00,1.000000000000000000e+00
1.223100000000000023e+02,1.065000000000000000e+03,-3.906292330719161043e+00,1.683928138760851234e-01,1.568919875087770199e+00,1.000000000000000000e+00
1.273900000000000006e+02,1.060000000000000000e+03,-4.030646528616747659e+00,1.911400878498997480e-01,1.570438462126745094e+00,1.000000000000000000e+00
1.325000000000000000e+02,1.055000000000000000e+03,-4.173425268859445758e+00,2.209970683282201365e-01,1.250227789369404041e+00,1.000000000000000000e+00
1.376500000000000057e+02,1.052000000000000000e+03,-4.270420602678324684e+00,2.438537365318835248e-01,1.088909118289011158e+00,1.000000000000000000e+00
1.427899999999999920e+02,1.048000000000000000e+03,-4.416911036527383594e+00,2.828633196751308421e-01,1.090423393173313160e+00,1.000000000000000000e+00
1.479199999999999875e+02,1.045000000000000000e+03,-4.543294782270003829e+00,3.214303604033234563e-01,7.784948745686991467e-01,1.000000000000000000e+00
1.530800000000000125e+02,1.043000000000000000e+03,-4.637637376125592681e+00,3.535699564611560763e-01,7.806433033838918734e-01,1.000000000000000000e+00
1.581899999999999977e+02,1.040000000000000000e+03,-4.798703169015035463e+00,4.159592874653841865e-01,7.829007105336789341e-01,1.000000000000000000e+00
1.633000000000000114e+02,1.038000000000000000e+03,-4.922896379788248566e+00,4.714170056755905835e-01,6.269352096100549998e-01,0.000000000000000000e+00
1.684000000000000057e+02,1.036000000000000000e+03,-5.065026349566252861e+00,5.439391345198011374e-01,6.275486479728463740e-01,0.000000000000000000e+00
1.735000000000000000e+02,1.034000000000000000e+03,-5.231108616854586835e+00,6.428335378133721578e-01,4.711297568197901353e-01,0.000000000000000000e+00
1.785699999999999932e+02,1.033000000000000000e+03,-5.325932533581010375e+00,7.071151450361999879e-01,3.159431729939203293e-01,0.000000000000000000e+00
1.836299999999999955e+02,1.032000000000000000e+03,-5.430806549594115573e+00,7.856817361192869331e-01,3.162547534250545467e-01,0.000000000000000000e+00
1.886899999999999977e+02,1.031000000000000000e+03,-5.548102848808667886e+00,8.838901806138146355e-01,3.144126199690577828e-01,0.000000000000000000e+00
1.938100000000000023e+02,1.030000000000000000e+03,-5.681147267963620351e+00,1.010158416387781921e+00,3.122443119246528509e-01,0.000000000000000000e+00
1.989399999999999977e+02,1.029000000000000000e+03,-5.834810737062604780e+00,1.178516339890026687e+00,3.122443119246528509e-01,0.000000000000000000e+00
2.040600000000000023e+02,1.028000000000000000e+03,-6.016644845638280614e+00,1.414217764731071192e+00,3.125486430333597743e-01,0.000000000000000000e+00
